season,candidate,training_games,training_status,games,mae,rmse,paired_mae_delta,paired_mae_delta_week_bootstrap_95,conditional_over_brier,conditional_over_log_loss,expected_pushes,observed_pushes,bets,wins,losses,pushes,profit_units,assumed_minus110_roi,roi_week_bootstrap_95
2023,market_only,18,insufficient_training_ridge_equals_market,791,12.65613147914033,15.756141820156673,0.0,"[0.0, 0.0]",0.25,0.6931471805599453,0.25616780743542916,0,0,0,0,0,0.0,,
2023,drive_clock_shrink,18,insufficient_training_ridge_equals_market,791,12.65403391702883,15.712862072633673,-0.0020975621114962544,"[-0.0759656565054909, 0.0847104156515984]",0.250675010452942,0.6945603092272747,0.25498686624600375,0,0,0,0,0,0.0,,
2023,drive_clock_ridge,18,insufficient_training_ridge_equals_market,791,12.65613147914033,15.756141820156673,0.0,"[0.0, 0.0]",0.25,0.6931471805599453,0.25616780743542916,0,0,0,0,0,0.0,,
2024,market_only,809,prospective_shadow_only,884,12.497737556561086,16.07219993839451,0.0,"[0.0, 0.0]",0.25,0.6931471805599454,0.0,0,0,0,0,0,0.0,,
2024,drive_clock_shrink,809,prospective_shadow_only,884,12.402532712566131,15.932671255524145,-0.09520484399495265,"[-0.17615620198312906, -0.00793707456747488]",0.24712945166141298,0.6873711020206229,0.0,0,0,0,0,0,0.0,,
2024,drive_clock_ridge,809,prospective_shadow_only,884,12.414485963888282,15.947869467139629,-0.08325159267280573,"[-0.1910101510306764, 0.007203245380881066]",0.2478106151319403,0.6887535925560874,0.0,0,0,0,0,0,0.0,,
2025,market_only,1693,prospective_shadow_only,922,12.415401301518438,15.413128612405712,0.0,"[0.0, 0.0]",0.25,0.6931471805599452,0.0,0,0,0,0,0,0.0,,
2025,drive_clock_shrink,1693,prospective_shadow_only,922,12.44134241058344,15.409872291159925,0.02594110906500235,"[-0.03348341773347488, 0.08913544228231934]",0.2510046031014666,0.6951718930794377,0.0,0,0,0,0,0,0.0,,
2025,drive_clock_ridge,1693,prospective_shadow_only,922,12.433753597373371,15.384739314277253,0.01835229585493431,"[-0.10396861451137371, 0.15594498737377405]",0.25117541033102936,0.695540580913811,0.0,0,0,0,0,0,0.0,,
